r_id,r_name,old_cat,parent_cat,subcategory,classification_notes,additional_info,link
Has temp finding,Has temporal finding (SNOMED),ATTRIBUTE,Attribute,Temporal,"All listed as ""Clinical Finding and Disorder""",Applies to perioperative complications and clinical findings where there is no causal relationship but a time-relative association exists.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#temporally-related-to
Has temporal context,Has temporal context (SNOMED),ATTRIBUTE,Attribute,,,,
Has therap class,Has therapeutic class (NDF),ATTRIBUTE,,,,,
Has time aspect,Has time aspect,ATTRIBUTE,,,,,
Has Topic,Has Topic,ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has Topography ICDO,Has Topography ICDO,ATTRIBUTE,,,,,
Has trade family grp,Has trade family group (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has tradename,Has tradename (RxNorm),ATTRIBUTE,Attribute,Commercial,"Bridging two distinct clinical entities, one that is manufacturer-neutral (Clinical) and one that is manufacturer-specific (Branded)",Reciprocal of Tradename of.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Has transformation,Has dose form transformation (SNOMED),ATTRIBUTE,Attribute,,,,
Has type,Has type,ATTRIBUTE,,,,,
Has type of service,Has type of service (LOINC),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Has unit,Has unit,ATTRIBUTE,,,,,
Has unit of admin,Has unit of administration (SNOMED),ATTRIBUTE,Attribute,,,,
Has unit of presen,Has unit of presentation (SNOMED),ATTRIBUTE,Attribute,,,,
Has unit of prod use,Has unit relating to the entity that can be handled (DM+D),ATTRIBUTE,,,,,
Has vaccine group,Has vaccine group (CVX),ATTRIBUTE,,,,,
Has Value,Has Value,ATTRIBUTE,,,,,
Has variant,Reference to variant,ATTRIBUTE,,,,,
Has VMP,Has Virtual Medicinal Product (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has VRP,Has VRP (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
HC indication of,HC indication of (HemOnc),ATTRIBUTE,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
HCPCS - SNOMED meas,HCPCS is a SNOMED measurement (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
HCPCS - SNOMED proc,HCPCS is a SNOMED procedure (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Hist adult indic for,Historical adult indication for (HemOnc),UNCATEGORISED,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Hist ped indic for,Historical pediatric indication for (HemOnc),UNCATEGORISED,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Histology of ICDO,Histology of ICDO,UNCATEGORISED,,,,,
Historic treated by,Historically treated by (HemOnc),VERSIONING,Uncategorised,Uncategorised,Unused in OMOP CDM,,https://hemonc.org/wiki/HemOncKB_canonical_triples
HOI - MedDRA,HOI contains MedDRA (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
HOI - SNOMED,HOI contains SNOMED (OMOP),MAPS_TO,Identity,Vocab Mapping,,,
ICD9CM - FDB Ind,ICD-9-CM to FDB Indication/Contraindication (FDB),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
ICD9CM - MedDRA,ICD-9-CM to MedDRA (MSSO),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
ICD9P - SNOMED eq,ICD-9-Procedure to SNOMED equivalent (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
ICD9P replaced by,Concept replaced by (ICD-9-Procedure),VERSIONING,Uncategorised,Uncategorised,Unused in OMOP CDM,,
ICD9P replaces,Concept replaces (ICD-9-Procedure),VERSIONING,Uncategorised,Uncategorised,Unused in OMOP CDM,,
ICDO - SNOMED,ICDO - SNOMED,MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
ICDO br to OncoTree,ICDO broader to OncoTree,MAPS_TO,,,,,
ICDO to Chapter,ICDO to Chapter,MAPS_TO,,,,,
ICDO to OncoTree eq,ICDO to OncoTree equivalent,MAPS_TO,Identity,Vocab Mapping,,,
ICDO to Proc Schema,ICDO Condition to Procedure Schema (NAACCR),MAPS_TO,,,,,
ICDO to Schema,ICDO Condition to Schema (NAACCR),MAPS_TO,,,,,
Immunosuppressor of,Immunosuppressor of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Immunotherapy of,Immunotherapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Incipient of,Incipient of (DM+D),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Included in map from,Standard to Non-standard include child (OMOP),UNCATEGORISED,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Ind/CI - SNOMED,Indication/Contra-indication to SNOMED,MAPS_TO,Identity,Vocab Mapping,,,
Indir device of,Indirect device of (SNOMED),ATTRIBUTE,Attribute,Device,,"Indirect device (attribute) represents action on something that is located in or on a device, but is not directly on the device itself. This attribute is infrequently needed. When modeling, carefully consider its use.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#indirect-device
Indir morph of,Indirect morphology of (SNOMED),ATTRIBUTE,,,,,
Indir proc site of,Indirect procedure site of (SNOMED),ATTRIBUTE,Attribute,Spatial,,"specifies the anatomical location but is not the direct focus of the procedure. The direct object of the action may be a device, a substance, or a morphologic abnormality that is not a part of the tissue structure of the anatomical site in which it is located, such as a calculus, thrombus, or foreign body.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-site-indirect
Induced by,Induced by (NDF-RT),INTERACTION,,,,,
Induces,Induces (NDF-RT),INTERACTION,,,,,
Inferred class of,Inferred drug class of (OMOP),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Inherent location of,Inherent location of (SNOMED),ATTRIBUTE,Attribute,Anatomical,,Specify a body site or other location of the independent continuant in which the property exists.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#inherent-location
Inheres in,Inheres in (SNOMED),UNCATEGORISED,Attribute,Entity,,Specifies the independent continuant in which the quality exists and on which the dependent quality (of this observable) depends.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#inheres-in
Inhibits effect,Inhibits effect (NDF-RT),INTERACTION,,,,,
Intended site of,Dose form intended site of (SNOMED),ATTRIBUTE,,,,,
Intent of,Intent of (SNOMED),ATTRIBUTE,Attribute,Characteristic,,"The Has intent attribute is used when a procedure may be performed for various reasons, described with subtypes of 363675004 |Intents (nature of procedure values) (qualifier value)|, such as diagnostic, palliative, preventive, therapeutic, etc. These intents are not used to define procedures with intents that are inherent to the procedure; such as biopsies that are by definition diagnostic, or fracture fixations which are always therapeutic.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#has-intent
Interpretation of,Interpretation of (SNOMED),ATTRIBUTE,Attribute,Clinical,"All listed as ""Clinical Finding and Disorder""","Refers to and designates the judgment aspect being evaluated or interpreted (e.g., presence, absence, degree, normality, abnormality, etc.). ",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#has-interpretation
Interprets of,Interprets of (SNOMED),ATTRIBUTE,Attribute,Evaluation,"All listed as ""Clinical Finding and Disorder""","Refers to the entity being evaluated or interpreted, when an evaluation, interpretation, or judgment is intrinsic to the meaning of a concept.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#interprets
Investig use for,Investigational use for (HemOnc),UNCATEGORISED,,,,,
Is a,Is a,ONTO_U,Hierarchical,Up,,,
Is characterized by,Is characterized by (SNOMED),ATTRIBUTE,Attribute,Observation,,"Specifies the process which the property describes, and on which the property (of this observable) depends",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#characterizes
Is CI of,Is contra-indication of (FDB),INTERACTION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Is curr in adult,Is current in adult (HemOnc),UNCATEGORISED,,,,,
Is curr in ped,Is current in pediatric (HemOnc),UNCATEGORISED,,,,,
Is current in,Is currently used in (HemOnc),UNCATEGORISED,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Is domain,Is a domain (OMOP),UNCATEGORISED,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Is FDA-appr ind of,Is FDA-approved indication of (FDB),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Is hist in adult,Is historical in adult (HemOnc),UNCATEGORISED,Attribute,Clinical,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Is hist in ped,Is historical in pediatric (HemOnc),UNCATEGORISED,,,,,
Is historical in,Is historically used in (HemOnc),VERSIONING,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Is off-label ind of,Is off-label indication of (FDB),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Is pack of,Is pack of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Is standard brand of,Is standard Brand Name of (OMOP),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Is standard form of,Is standard Dose Form of (OMOP),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Is standard ing of,Is standard ingredient of ingredient (OMOP),COMPOSITION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Is sterile,Is sterile (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the sterility quality (e.g. sterile or non-sterile) of an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#is-sterile
Is sterile of,Is sterile of (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the sterility quality (e.g. sterile or non-sterile) of an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#is-sterile
Is transcribed from,mRNA is transcribed from genomic DNA,UNCATEGORISED,,,,,
Is translated from,Protein is translated from mRNA,UNCATEGORISED,,,,,
Issue of,Issue of,ATTRIBUTE,,,,,
Kind of,Kind of (LOINC),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Laterality of,Laterality of (SNOMED),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Legal category of,Legal category of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Licensed route of,Licensed route of (DM+D),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Life circumstan of,Life circumstance (SNOMED Vet),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Local therapy of,Local therapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
LOINC - CPT4 eq,LOINC to CPT4 equivalent (SNOMED),MAPS_TO,Identity,Vocab Mapping,,,
LOINC - SNOMED eq,LOINC Hierarchy to SNOMED equivalent (LOINC),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
LOINC replaced by,Concept replaced by (LOINC),VERSIONING,Uncategorised,Uncategorised,Unused in OMOP CDM,,
LOINC replaces,Concept replaces (LOINC),VERSIONING,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Manifestation of,Definitional manifestation of (SNOMED),INTERACTION,,,,,
Map excludes child,Non-standard to Standard exclude child (OMOP),UNCATEGORISED,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Map includes child,Non-standard to Standard include child (OMOP),COMPOSITION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Mapped from,Standard to Non-standard map (OMOP),MAPS_FROM,Identity,Vocab Mapping,,,
Maps to,Non-standard to Standard map (OMOP),MAPS_TO,Identity,Vocab Mapping,,,
Maps to number,Non-standard to value_as_number map (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Maps to operator,Non-standard to operator concept map (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Maps to type,Non-standard to type concept map (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Maps to unit,Non-standard to unit concept map (OMOP),MAPS_TO,Identity,Vocab Mapping,,,
Maps to value,Non-standard to value_as_concept map (OMOP),MAPS_TO,Identity,Vocab Mapping,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-PPI#concept-relationships
Marketed form of,Marketed form of (OMOP),ATTRIBUTE,Attribute,Product-form,,Marketed form of the drug.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
May be inhibited by,Effect may be inhibited by (NDF-RT),INTERACTION,,,,,
May be prevented by,May be prevented by (NDF-RT),INTERACTION,,,,,
May be route of,May be route of (HemOnc),ATTRIBUTE,,,,,
May be treated by,May be treated by (NDF-RT),INTERACTION,,,,,
May diagnose,May diagnose (NDF-RT),INTERACTION,,,,,
May have route,May have route (HemOnc),UNCATEGORISED,,,,,
May prevent,May prevent (NDF-RT),INTERACTION,,,,,
May treat,May treat (NDF-RT),INTERACTION,,,,,
MDC cat - DRG,MDC category to DRG (CMS),MAPS_TO,,,,,
Meas component of,Measured Component of (SNOMED),COMPOSITION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Measurement of,Measurement method of (SNOMED),ATTRIBUTE,,,,,
MedDRA - HOI,MedDRA contained in HOI (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
MedDRA - ICD9CM,MedDRA to ICD-9-CM (MSSO),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
MedDRA - SMQ,MedDRA contained in SMQ (MedDRA),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
MedDRA - SNOMED eq,MedDRA to SNOMED equivalent (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Metabolism of,Site of metabolism of (NDF-RT),ATTRIBUTE,,,,,
Metabolite of,Active metabolite of (NDF-RT),ATTRIBUTE,,,,,
Method of,Method of,ATTRIBUTE,,,,,
MoA of,Mechanism of action of (NDF-RT),ATTRIBUTE,,,,,
Modality of,Modality of (Hemonc),ATTRIBUTE,,,,,
Modification of,Is modification of (SNOMED),ATTRIBUTE,,,,,
Module of,Module of,ATTRIBUTE,,,,,
Morphology of,Morphology of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
MS-DRG - DRG eq,MS-DRG to DRG equivalent (CMS),MAPS_TO,Identity,Vocab Mapping,,,
Multilex has ing,Has ingredient (Multilex),COMPOSITION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Multilex ing of,Ingredient of (Multilex),COMPOSITION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
NDFRT - RxNorm eq,NDF-RT to RxNorm equivalent (RxNorm),MAPS_TO,Identity,Vocab Mapping,,,
NDFRT - RxNorm name,NDF-RT to RxNorm equivalent by concept_name (OMOP),MAPS_TO,Identity,Vocab Mapping,,,
NDFRT - SNOMED eq,NDF-RT to SNOMED equivalent (RxNorm),MAPS_TO,Identity,Vocab Mapping,,,
NDFRT - VAProd,NDF-RT to VA Product (NDF-RT),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
NDFRT dose form of,Dose form of (NDF-RT),ATTRIBUTE,,,,,
NDFRT has dose form,Has dose form (NDF-RT),ATTRIBUTE,,,,,
NDFRT has ing,Has ingredient (NDF-RT),COMPOSITION,,,,,
NDFRT ing of,Ingredient of (NDF-RT),COMPOSITION,,,,,
NDFRT to ATC eq,NDFRT to ATC equivalent (NDF-RT),MAPS_TO,Identity,Vocab Mapping,Reverse of ATC to NDFRT eq,Is a cross-link between ATC Classes and National Drug File - Reference Terminology.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
NDFRT to VA Class eq,NDFRT to VA Class equivalent (NDF-RT),MAPS_TO,Identity,Vocab Mapping,,,
Nebraska-CAP cat,Nebraska Lexicon to CAP category,UNCATEGORISED,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Nebraska-CAP eq,Nebraska Lexicon to CAP equivalent,UNCATEGORISED,Uncategorised,Uncategorised,Unused in OMOP CDM,,
NMPA indication of,NMPA indication of (HemOnc),ATTRIBUTE,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Non-avail ind of,VMP non-availability indicator of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
NUCC - CMS Specialty,NUCC to CMS Specialty (CMS),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Number mapped from,Value_as_number to non-standard map (OMOP),MAPS_FROM,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Numerator unit of,Presentation strength numerator unit of (SNOMED),ATTRIBUTE,,,,,
Numerator value of,Presentation strength numerator value of (SNOMED),ATTRIBUTE,,,,,
Occurrence of,Occurrence of (SNOMED),ATTRIBUTE,Attribute,Characteristic,,"Occurrence (attribute) is applied to procedures during a period of life. For example, procedures related to the gravid uterus should be modeled by the combination of the occurrence of the maternal pregnancy period and the uterus.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#occurrence
Occurs after,Occurs after (SNOMED),METADATA,Attribute,Temporal,,,
Occurs before,Occurs before (SNOMED),METADATA,Attribute,Temporal,,,
OncoTree to ICDO br,OncoTree to ICDO broader,MAPS_TO,,,,,
OncoTree to ICDO eq,OncoTree to ICDO equivalent,MAPS_TO,Identity,Vocab Mapping,,,
Ontological form of,Ontological dose form presentation of (DM+D),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
OPCS4 - SNOMED,OPCS4 to SNOMED equivalent or categorical (NHS),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Operator mapped from,Operator concept to non-standard map (OMOP),MAPS_FROM,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Panel contains,Panel contains,COMPOSITION,,,,,
Paral imprt ind,Has NHS dm+d parallel import indicator,UNCATEGORISED,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Paral imprt of,NHS dm+d parallel import indicator of,ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Parent item of,Parent item of (NAACCR),ATTRIBUTE,,,,,
Part of,Part of (SNOMED),COMPOSITION,,,,,
Pathology of,Pathological process of (SNOMED),ATTRIBUTE,,,,,
Pept-drug cjgt of,Peptide-drug conjugate of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Permiss range of,Permissible range of,ATTRIBUTE,,,,,
Pharma prep in,Pharmaceutical preparation contained in (NDF),UNCATEGORISED,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Physiol effect by,Physiological effect induced by (NDF-RT),METADATA,,,,,
Physiol state of,Physiologic state of (SNOMED Vet),ATTRIBUTE,,,,,
PK of,Pharmacokinetics of (NDF-RT),ATTRIBUTE,,,,,
Plays role,Plays role,UNCATEGORISED,,,,,
PMDA indication of,PMDA indication of (HemOnc),ATTRIBUTE,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
PoS - Visit cat,Place of Service to Visit category (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
PPI parent code of,PPI parent code of,ATTRIBUTE,,,,,
Prec ingredient of,Precise active ingredient of (SNOMED),COMPOSITION,,,,,
Precise ing of,Precise ingredient of (RxNorm),COMPOSITION,,,,,
Precondition of,Precondition of (SNOMED),ATTRIBUTE,Attribute,Clinical,,"Specify body state, timing, challenges, or other situations that must be true of the entity to be observed.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#precondition
Precoord pair of,Precoordinated (Question-Answer/Variable-Value) pair of,ATTRIBUTE,,,,,
Prep to Chem eq,Pharmaceutical Preparation to Chemical Structure equivalent (NDF-RT),MAPS_TO,Identity,Vocab Mapping,,,
Priority of,Priority of (SNOMED),ATTRIBUTE,Attribute,Characteristic,,Priority (attribute) is used when a procedure concept specifies a priority. This attribute is self-grouped.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#priority
Proc context of,Procedure context of (SNOMED),ATTRIBUTE,,,,,
Proc device of,Procedure device of (SNOMED),ATTRIBUTE,Attribute,Device,,"Procedure device (attribute) is used to model devices associated with a procedure. This attribute is used to define high-level, general concepts that aggregate procedures according to the device involved.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-device
Proc duration of,Process duration of,ATTRIBUTE,,,,,
Proc morph of,Procedure morphology of (SNOMED),ATTRIBUTE,Attribute,Characteristic,,"Procedure morphology (attribute) is used to specify the morphology, or abnormal structure, involved in a procedure. It is used when defining general concepts that subsume direct and indirect morphology. It subsumes the more specific attributes, Direct and Indirect Morphology. These should be used, if possible.

",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-morphology
Proc Schema to ICDO,Procedure Schema to ICDO Condition (NAACCR),MAPS_TO,,,,,
Proc site of,Procedure site of (SNOMED),ATTRIBUTE,Attribute,Spatial,,,
Process acts on,Process acts on (SNOMED),INTERACTION,Attribute,Entity,,"Describes that a process specifically acts on some entity, e.g. by transporting that entity in or out of the body, i.e. Rate of intake of protein.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#process-acts-on
Process extends from,Process extends from (SNOMED),UNCATEGORISED,Attribute,Anatomical,,Specify the substance or process produced by the process characterized by the observable property type.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#process-extends-to
Process extends to,Process extends to (SNOMED),UNCATEGORISED,Attribute,Anatomical,,Specify the substance or process produced by the process characterized by the observable property type.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#process-extends-to
Process output of,Process output of (SNOMED),ATTRIBUTE,,,,,
Prod character of,Product characteristic of (SNOMED),ATTRIBUTE,,,,,
Product comp of,Product component of (NDF-RT),ATTRIBUTE,,,,,
Property of,Property of,ATTRIBUTE,,,,,
Property type of,Property type of,ATTRIBUTE,,,,,
Quantified form of,Quantified form of (RxNorm),ATTRIBUTE,Attribute,Product-form,,Quantifier for a drug concept,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Question source of,Question source of,ATTRIBUTE,,,,,
Radioconjugate of,Radioconjugate of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Radiotherapy of,Radiotherapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Recipient cat of,Recipient category of (SNOMED),ATTRIBUTE,Attribute,Characteristic,,Recipient category (attribute) specifies the type of individual or group upon which the action of the procedure is performed.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#recipient-category
Reformulated in,Reformulated in (RxNorm),METADATA,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Reformulation of,Reformulation of (RxNorm),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Regimen type of,Regimen type of (HemOnc),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Relat context of,Subject relationship context of (SNOMED),ATTRIBUTE,,,,,
Relative part of,Relative part of (SNOMED),COMPOSITION,,,,,
Relative to,Relative to (SNOMED),UNCATEGORISED,Attribute,Entity,,"Specify the denominator of a relational property type, e.g. a ratio or proportion.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#relative-to
Relative to of,Relative to of (SNOMED),MAPS_TO,Attribute,Entity,,"Specify the denominator of a relational property type, e.g. a ratio or proportion.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#relative-to
Release charact of,Dose form release characteristic of (SNOMED),ATTRIBUTE,,,,,
Revision status of,Revision status of (SNOMED),VERSIONING,Attribute,Characteristic,,Revision status (attribute) refers to another procedure performed on the same site for the same condition. A procedure without a revision status is considered to be performed for the first time. ,
Role of,Role of (LOINC),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Role played by,Role played by,UNCATEGORISED,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Route of,Route of (DM+D),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Route of admin of,Route of administration of (SNOMED),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Rx AB-drug cjgt of,RxNorm antibody-drug conjugate of (HemOnc),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Rx antineopl of,RxNorm antineoplastic of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Rx endocrine tx of,RxNorm endocrine therapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Rx immunosuppr of,RxNorm immunosuppressor of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Rx immunotherapy of,RxNorm immunotherapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Rx local therapy of,RxNorm local therapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Rx PDC of,RxNorm PDC of (HemOnc),ATTRIBUTE,,,,,
Rx pept-drg cjg of,RxNorm peptide-drug conjugate of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
